Название,Компания,Зарплата,Ссылка
Оператор исходящих B2B-продаж (холодная база),Т-Банк. Работа с клиентами. Продажи и развитие бизнеса,Не указана,https://orsk.hh.ru/vacancy/131398519?hhtmFrom=vacancy_search_list
Менеджер по продажам,ООО ФЦБ-РЕГИОН,Не указана,https://orsk.hh.ru/vacancy/131782639?hhtmFrom=vacancy_search_list
Ассистент менеджера по продажам,ГАРВИН (ГК ГаражТулс),Не указана,https://orsk.hh.ru/vacancy/131814091?hhtmFrom=vacancy_search_list
Ассистент в отдел рекламы/помощник руководителя,ООО Урал-ТВ,Не указана,https://orsk.hh.ru/vacancy/131811549?hhtmFrom=vacancy_search_list
Специалист по работе с населением,"Росводоканал,ООО",Не указана,https://orsk.hh.ru/vacancy/131766893?hhtmFrom=vacancy_search_list
Специалист по связям с общественностью,ООО ОРЕНБУРГСКИЙ ПРОПАНТ,Не указана,https://orsk.hh.ru/vacancy/130775490?hhtmFrom=vacancy_search_list
Менеджер по рекламе,Строительный Бум,Не указана,https://orsk.hh.ru/vacancy/131620988?hhtmFrom=vacancy_search_list
Менеджер по продажам,ООО Евразис,Не указана,https://orsk.hh.ru/vacancy/131422639?hhtmFrom=vacancy_search_list
Ведущий менеджер по работе с юридическими лицами,Альфа-Банк,Не указана,https://orsk.hh.ru/vacancy/131677774?hhtmFrom=vacancy_search_list
Менеджер по продажам услуг физическим лицам,АО Уфанет,Не указана,https://orsk.hh.ru/vacancy/131098312?hhtmFrom=vacancy_search_list
Менеджер по продажам,Pegas touristik (ИП Ивлева Татьяна Геннадьевна),Не указана,https://orsk.hh.ru/vacancy/131309184?hhtmFrom=vacancy_search_list
Курьер по доставке банковских продуктов,Happy Delivery,Не указана,https://orsk.hh.ru/vacancy/131796351?hhtmFrom=vacancy_search_list
Старший клиентский менеджер,Сбер. Работа с клиентами,Не указана,https://orsk.hh.ru/vacancy/131350562?hhtmFrom=vacancy_search_list
Персональный менеджер Премьер,Сбер. Работа с клиентами,Не указана,https://orsk.hh.ru/vacancy/130965123?hhtmFrom=vacancy_search_list
Менеджер оптовых продаж (стройматериалы),ООО СТРОЙЛАНДИЯ.РУ,Не указана,https://orsk.hh.ru/vacancy/131537831?hhtmFrom=vacancy_search_list
Менеджер по работе с клиентами банка,"ПАО ВТБ, Розничный бизнес",Не указана,https://orsk.hh.ru/vacancy/131417030?hhtmFrom=vacancy_search_list
Специалист по зарплатным проектам,Сбер. Работа с клиентами,Не указана,https://orsk.hh.ru/vacancy/131296164?hhtmFrom=vacancy_search_list
